report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price
03/25/2022,Southeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.58,1.79,159,0.96
03/25/2022,Southeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.79,1.99,1219,1.67
03/25/2022,Southeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.59,1.79,51,1.75
03/25/2022,Southeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,1.98,2.99,218,1.99
03/25/2022,Southeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.69,2.89,1316,2.02
03/25/2022,Southeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.98,2.5,423,1.84
03/25/2022,Southeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.78,1.29,279,0.98
03/25/2022,Southeast,Vegetables,Tomatoes,Plum Type (Roma),Yes,per lb,N/A,1.99,1.99,220,1.99
04/01/2022,Southeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,1.98,2.79,420,2.4
04/01/2022,Southeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,1.99,3290,1.62
04/01/2022,Southeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.99,1.99,7,1.99
04/01/2022,Southeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.98,1.99,236,1.41
04/01/2022,Southeast,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,2.99,2.99,220,2.99
04/01/2022,Southeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.78,1.99,753,1.77
04/01/2022,Southeast,Vegetables,Tomatoes,Plum Type (Roma),Yes,per lb,N/A,1.99,1.99,220,1.99
04/01/2022,Southeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.79,2,84,1.02
04/01/2022,Southeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.59,2,85,1.93
04/01/2022,Southeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,2,2.5,392,2.06
04/08/2022,Southeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.79,1.49,269,1.3
04/08/2022,Southeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.79,3.99,324,3.09
04/08/2022,Southeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.95,2.49,2137,1.57
04/08/2022,Southeast,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,2.99,2.99,220,2.99
04/08/2022,Southeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.97,1.99,1960,1.69
04/08/2022,Southeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,2.5,348,1.45
